,txt
2962,늘 목적을 찾으려고 애쓰는 저에게 목적을 굳이 만들려하지 않아도 된다고 목적이 전부가 아니라는 것을 말해주었습니다 목적은 필요 없습니다 있어도 우리에게 전부는 아니죠 하루하루 즐겁게 살 수 있다면 그게 행복이라는 걸 깨닫게 된 영화였습니다 다들 힐링 받고 내 삶에 대해 돌아보고 싶으시다면 이 영화를 보는 걸 추천드려요 
2964,꼭 보세요인생영화 등록합니다 
2965,일본은 진심 우리나라에 민폐임ㅜㅜ 아 호랑이 너무 서글픈 한국역사 ㅠㅠ 
2966,헐 개재밌었는데 평점 낮네 왜지 난 잘봄 
2968,와 이건 좀 아니다 
2969,개인적으로 막 화려한 영화보다는 이렇게 잔잔하면서 핵심이 굳건히 있는 스토리가 좋아요 
2970,대견해 내 영혼 즐겁게 살기 
2971,그리고 이스턴 프라미스가 만들어진다 
2972,빈약한 악당과 매력적인 여주인공을 잘 살리지 못한 cg 연출이 아쉽다 추억 속의 그녀를 보았을땐 세월의 무상함을 느낀다 
2973,굳이 에놀라 홈즈 홈즈라는 이름에 끌려 보진 마시길 홈즈가 들어갈 만한 부분은 없었음 여성 참정권에 대한 이야기는 개인적으로 재밌었음 하지만 엄마가 어린 딸을 두고 간건 사실이기에 결말이 사실 어이 없었음 널 위해서야 그 말을 듣기엔 에놀라가 너무 고생함 만약 기숙사에서 못나왔으면 에놀라가 엄마를 안을 수 있었을까 
2974,존 커피 역을 맡은 배우와 톰 행크스의 인상깊은 섬세한 감정연기 이런 연기력을 보고 진정한 내면연기를 보여주는구나 하는 듯 하다 전체적인 흐름은 잔잔한 듯 싶으나 충격적인 장면도 일부 포함되니 주의 원작은 소설인데 스토리가 이 영화를 살렸다 
2975,계속 봐도 안질려요 진심 강추합니다 
2976,웃으면서 영화관에 들어갔다가 울면서 나왔네요인생이란 무엇일까 곰곰히 생각해보게 되는 영화에요 
2977,민주주의 김대중의 민주주의 
2978,재밌었습니다 프랑스 난민 문제가 심각한지도 알게됐구요체스에 흥미도 생기는 영화였습니다 
2979,스토리는 그리 매력적이지 않다 무난한 수준이다 하지만 촬영 조명 음악 등 거의 모든 것이 완벽을 넘어선 수준이다 연기는 뭐 말할 것도 없고 
2981,류석님 이수님 너무너무 팬입니다 항상 응원 하며 류석님의 유튜브 영상도 항상 챙겨보고 있으며 항상 화이팅 합니다 
2982,채널 돌리다 봤는데 서로 죽고 죽여야만 12시간이 된다는게 마음이 너무 애리네요 개봉 당시에는 잘 몰랐는데 일반전쟁 영화랑은 다른 느낌이네요 무엇을 위해 전쟁을 했던건지사람 목숨을 얼마나 하찮게 생각했길래 이런 방법밖에 없었을까 
2983,시대를 30년 정도 앞서간 영화 
2985,오랜만에 다시 본 영화 너무 좋았습니다아 
2986,순한 버전 원초적 본능이라고 해야 될까 초중반은 꽤 짜임새 있게 연출했는데뒤로 갈 수록 그 힘이 부족해져서 아쉽다 
2989,머리가 아닌 가슴으로 느끼는인생이란 
2990,아아아아이이이이오오 
2991,정말 잠만 오더만  병사는 그 무거운 아머는 뭐하로 입냐 때려도 쓰러지고 레이저 아문데나 한대 맛아도 쓰러지고 있으나 마나 전혀 믿음이 인가 
2992,재밌었고 많은 생각을 하게 해주는 영화였습니다 다시 볼 예정입니다ㅎㅎ 
2994,모든게 정해진 행동 
2995,서로 모자란 부분을 채워주고 도와주면서 사는게 인간만이 가질 수 있는 향기가 아닐까싶다 
2996,어떻게 이런 주제를 가지고 이렇게 연출할 수 있는지 너무 보았습니다 
2997,정말 픽사 작품 좋아하지만 역대급 입니다 꼭 보세요 
2998,너무 좋았어요 매일매일이 무료한 직장인들에게 특히 추천해주고 싶은 영화입니다 
2999,전선야곡이 너무 구슬펐습니다 그리고 우리 전우분들이 너무나도 고마웠고 너무나도 가슴아팠습니다 신하균의 연기는 정말 명불허전입니다  국민이라면 꼭 보고 눈시울을 붉혀야 합니다  
3000,감사합니다 내인생을 다시살게 해준영화 사회초년생 들한테 추천 
3001,ㅠㅠ말잇못마음이 콩닥콩닥 간질간질해졌다 
3002,도무지 알 수 없는 미국식 러브스토리 
3003,소재가 참신했다 그게 끝 ㅋㅋㅋ 그리고 말죽거리 잔혹사 권상우 이종혁씨를 다시보게 되었다 끝 
3004,무의미하게 느껴졌던 과거의 제 인생을 다시 돌아보게 만든 영화였던거같아요 띵작입니다 
3005,정말 많이 울었습니다 꼭 보시길 바랍니다 
3006,온가족이 오랜만에 감동적인 영화를 봤습니다 
3007,슬픔과 기쁨이 주연이군요 
3008,중학교때 비디오가게 에서 아저씨한테 빌면서 빌린 영화 엄마랑 누나랑 같이보다 왕가슴이 갑자기 튀어나와 쌍욕먹고 어린변태된 기억이 내인생최악의 영화 
3009,나이 스물셋 먹고 태어나서 처음으로 뭐 보면서 소리내서 꺽꺽 울은적은 처음이다 진짜 여운 진짜 내 인생 영화야 
3010,이야기를 너무 꼬아놔서 하나도 감동적이지 않았어요 연기자들 연기는 볼만한데요 나오는 장면들이 너무 비현실적이고 인생이 저주를 받는다면 저렇게 살 수 있겠구나 싶을정도로 보면서 짜증나요 이런 한국영화 그만 좀 보고싶어요 옆에서 보는 가족들도 너무 진부하대요 
3011,괜찮은데 평점이 낮네 
